Node 1 (id),Node 2 (id),Path,Delay (mks)
15,0,"[15, 2, 0]",12581.85163
15,1,"[15, 2, 0, 1]",14040.51571
15,2,"[15, 2]",7081.83312
15,3,"[15, 2, 3]",9462.6097
15,4,"[15, 16, 9, 5, 4]",12491.22034
15,5,"[15, 16, 9, 5]",9749.29402
15,6,"[15, 2, 6]",12214.9129
15,7,"[15, 2, 6, 7]",13171.16117
15,8,"[15, 16, 9, 8]",8093.82696
15,9,"[15, 16, 9]",6139.41898
15,10,"[15, 13, 10]",8529.23381
15,11,"[15, 13, 11]",6852.21063
15,12,"[15, 13, 12]",7062.62391
15,13,"[15, 13]",5111.19586
15,14,"[15, 13, 10, 14]",12647.70576
15,15,[15],0
15,16,"[15, 16]",4280.66338
15,17,"[15, 17]",7319.9149
15,18,"[15, 21, 18]",6975.63432
15,19,"[15, 17, 19]",11456.83757
15,20,"[15, 17, 20]",12567.33044
15,21,"[15, 21]",2864.94322
15,22,"[15, 21, 22]",7342.56168
15,23,"[15, 21, 22, 23]",8204.86378
15,24,"[15, 21, 22, 24]",10099.01419
